X,Y,Z,Polarity
-0.06404283,-0.04126403,0.012959626,1
0.035637349,0.06732093,0.011877377,1
0.038534275,-0.065695487,-0.036842713,1
0.038509248,0.065710288,-0.066637432,1
0.017085691,0.074222789,-0.026377755,1
0.026808385,-0.053084072,-0.082550003,1
0.005438558,-0.013084504,-0.088900002,1
-0.04623669,0.060524314,0.017607422,1
-0.006530771,-0.01351204,-0.088900002,1
0.017910649,-0.074038379,-0.00357769,1
-0.06406412,-0.041232704,-0.056072876,1
-0.008152007,0.004918111,-0.082784377,1
0.035741769,-0.067267725,-0.028874074,1
-0.011551577,-0.075282169,-0.034439211,1
-0.019609257,-0.027620613,0.082550003,1
-0.067639321,0.035012463,0.002042578,1
-0.048250613,0.059582463,-0.088900002,1
0.014046674,-0.074887018,0.029959049,1
-0.020081242,0.012396311,-0.082550003,1
0.007255608,-0.075816021,-0.07251143,1
0.036282319,0.026658137,-0.082550003,1
-0.003149511,0.008984603,-0.085714061,1
-0.036644942,-0.021167215,0.082550003,1
0.008952812,-0.003237816,-0.082917781,1
0.068370256,-0.033577907,-0.002909276,1
-0.034383725,-0.067959676,0.010263388,1
0.011105595,0.099259085,-0.088900002,1
-0.07267818,-0.022832241,0.043189782,1
-0.009527232,8.06E-04,-0.082550003,1
0.075053238,0.012997114,0.050199341,1
0.043809556,0.062312872,-0.010834904,1
-0.059839195,0.047119943,0.047990664,1
0.006141173,0.00727768,-0.087188177,1
-0.031268601,-0.010418056,0.082550003,1
0.012258873,0.008069508,-0.088900002,1
-0.07143412,-0.026425822,0.064421522,1
-0.058832,0.048418416,-0.011099655,1
-0.014563265,-0.074786648,-0.037321803,1
0.072008078,-0.024831551,-0.01275968,1
0.00515283,0.076014794,-0.036580958,1
-0.01423223,-0.030548855,-0.082550003,1
0.00917259,0.00255175,-0.08415091,1
-0.07580273,0.00739621,0.0175579,1
0.087042041,-0.046488253,-0.088900002,1
-0.004997397,0.008469331,-0.088900002,1
0.031711961,0.069264763,0.014277689,1
0.009471715,0.016697547,-0.082550003,1
-0.009521836,-1.01E-04,-0.084363192,1
-0.016327181,-0.03635746,-0.082550003,1
-0.009318926,-0.001951955,-0.082570163,1
0.046381168,0.060412246,-0.018198946,1
0.004036683,0.009585224,-0.082550003,1
-0.020515516,0.016102332,-0.088900002,1
0.016148598,0.015148645,-0.082550003,1
0.005613927,-0.016633986,-0.082550003,1
0.004868224,-0.076041698,-0.01241765,1
-0.076148038,0.00165298,0.028608234,1
0.003366445,-0.059544211,-0.082550003,1
-0.05566182,0.052032715,-0.033248712,1
0.05780426,-0.049602583,-0.004494062,1
-0.002911168,-0.024738883,-0.082550003,1
-0.041084678,-0.064164719,0.001655614,1
0.033753574,-0.06828075,-5.19E-04,1
-0.060608701,0.019083996,0.082550003,1
-0.046523895,0.060301536,0.008442228,1
0.023987262,-0.04866045,-0.082550003,1
0.025783645,0.038995774,0.082550003,1
0.049163049,0.058191759,0.044324004,1
-0.046964543,-0.022823211,0.082550003,1
-0.03558751,0.056070188,-0.088900002,1
-0.068539627,0.033245494,-0.020473615,1
0.003974955,0.008653356,-0.085302456,1
-0.066909221,-0.036445381,-0.062662417,1
-0.076142642,-0.001824637,0.024961758,1
0.010754429,-0.075408414,-0.009445827,1
0.01132642,0.009715291,-0.088900002,1
-0.022282323,-0.017795572,-0.082550003,1
0.004500076,-0.008391977,-0.08378724,1
-0.063785018,0.041643385,0.053625404,1
-0.054484629,0.00195081,0.082550003,1
-0.074399255,0.01629627,0.010229808,1
-0.006864231,0.006599509,-0.087728254,1
-0.007023588,-0.007236171,-0.082550003,1
0.008646055,0.018959652,-0.088900002,1
-0.024453038,-0.072144348,-0.02939955,1
0.049818208,-0.044813796,-0.082550003,1
-0.040071755,0.011022409,-0.082550003,1
-0.00795948,-0.005651896,-0.088900002,1
-0.025131584,-0.054612496,-0.088900002,1
-0.06813936,0.03403107,-0.001343767,1
0.020542759,0.001110989,-0.082550003,1
0.042322341,-0.059459747,-0.088900002,1
0.010581912,-0.001233297,-0.088900002,1
0.050526616,0.056989619,-0.024415339,1
0.024692206,-0.016610808,-0.082550003,1
0.076104826,-0.003027679,-0.061968499,1
-0.044701085,0.051701014,-0.088900002,1
0.060822362,-0.045852447,-0.020636166,1
0.062009234,-0.044256341,-0.014170121,1
-0.064112163,-0.041162012,-0.061333073,1
0.017328117,-0.001697419,-0.088900002,1
0.072542082,-0.023300701,0.018963958,1
-0.075767061,0.00777355,-0.011320849,1
-0.073038737,0.021591175,0.063783965,1
